time,1,5,10,15,25,35,50,60,75,100,125,150,200,250,300,470,500
04/08,29.507002,29.670456,29.607048,29.584202,29.374802,29.52251,29.333477,29.406548,28.945744,28.366915,27.11613,24.800053,18.73959,12.864978,11.527862,9.43,8.612494
04/09,29.514935,29.77763,29.734226,29.686302,29.410149,29.591637,29.367504,29.41518,28.91919,28.269566,27.017391,24.659876,18.636396,12.833043,11.5482,9.45,8.618282
04/10,29.581001,29.712887,29.736893,29.735003,29.456652,29.649075,29.43165,29.433558,28.91004,28.297949,27.089674,24.84231,18.399763,12.786123,11.525369,9.19,8.57938
04/11,29.619509,29.562893,29.534332,29.526659,29.468847,29.506643,29.428999,29.375305,28.90228,28.293749,26.949797,24.691494,18.282915,12.731787,11.482112,9.27,8.588137
04/12,29.59684,29.632757,29.573433,29.535454,29.48734,29.476242,29.430391,29.403633,28.943113,28.25961,26.993086,24.734207,18.382845,12.736671,11.446036,9.55,8.600427
04/13,29.571045,29.74361,29.5947,29.542503,29.503658,29.485607,29.423069,29.457018,28.960083,28.229822,27.093967,24.725801,18.48639,12.756354,11.417877,9.38,8.602804
04/14,29.503845,29.388271,29.342789,29.307823,29.471895,29.273956,29.403963,29.39381,28.892998,28.244247,27.218296,24.894001,18.41276,12.9058695,11.429627,9.3,8.600332
04/15,29.493044,29.313797,29.282564,29.267643,29.452318,29.2204,29.360064,29.260538,28.816448,28.245285,27.15207,24.823875,18.290987,12.815607,11.432638,9.31,8.588363
04/16,29.486332,29.264406,29.251938,29.240435,29.435581,29.199793,29.36329,29.073326,28.827312,28.264175,27.08894,24.953785,18.406063,12.76697,11.429073,9.54,8.590356
04/17,29.381273,29.254215,29.243074,29.241482,29.406797,29.203585,29.321573,29.092747,28.805012,28.30412,27.20596,25.08858,18.449863,12.728846,11.409712,9.39,8.63402
04/18,29.392094,29.30346,29.268238,29.249695,29.371511,29.165136,29.320133,29.06917,28.851406,28.353914,27.339346,25.208183,18.679323,12.749555,11.466772,9.205,8.639131
04/19,29.40153,29.342098,29.313347,29.28601,29.383379,29.174406,29.314953,29.131674,28.878857,28.337208,27.252323,25.138186,18.560154,12.666716,11.441621,9.09,8.596462
04/20,29.470402,29.38852,29.3502,29.340961,29.444126,29.275795,29.366215,29.24842,28.922153,28.28659,27.213196,24.84177,18.33424,12.663674,11.402764,9.04,8.570079
04/21,29.503677,29.665855,29.645035,29.62245,29.479189,29.500467,29.340906,29.329529,28.9002,28.188383,27.143757,24.95409,18.467932,12.619313,11.408712,8.965,8.5434475
04/22,29.568983,29.75586,29.714943,29.674448,29.490372,29.412598,29.366257,29.325344,28.932692,28.229792,27.21617,25.019232,18.542006,12.545625,11.41182,8.98,8.5601015
04/23,29.569992,29.727055,29.68684,29.622051,29.458166,29.335924,29.38259,29.31367,28.936111,28.34691,27.196611,24.913347,18.013145,12.548024,11.382163,8.955,8.526525
04/24,29.60481,29.680218,29.678055,29.670671,29.483671,29.50906,29.400118,29.420479,28.95489,28.30826,27.173496,24.809444,18.147148,12.598915,11.359698,8.985001,8.512994
04/25,29.624025,29.794357,29.756012,29.728443,29.49856,29.760674,29.41658,29.534264,28.970264,28.21842,27.048717,24.737556,18.198572,12.588979,11.346147,9.094999,8.558866
04/26,29.633345,29.845413,29.827713,29.80368,29.487696,29.86346,29.361654,29.456871,28.908901,28.260246,26.949732,24.66868,18.192188,12.583326,11.351478,9.235001,8.541147
04/27,29.619705,29.826254,29.82201,29.880232,29.48944,29.829247,29.322975,29.397789,28.905863,28.287558,26.927275,24.682755,18.116648,12.55888,11.370658,9.32,8.492554
04/28,29.645784,29.806421,29.803493,29.832088,29.49006,29.763577,29.334019,29.43782,28.9331,28.301779,26.992666,24.724695,18.030088,12.552695,11.371246,9.309999,8.437494
04/29,29.617445,29.741413,29.734615,29.816868,29.511692,29.756256,29.391533,29.520042,28.909584,28.273884,26.862446,24.710327,18.042643,12.562425,11.385573,9.335,8.43592
04/30,29.640291,29.782194,29.752804,29.757584,29.519093,29.949062,29.39847,29.548,28.90793,28.321365,27.091158,24.762327,18.143963,12.499532,11.368812,9.155,8.500594
05/01,29.673574,29.745907,29.70773,29.724684,29.530226,30.026804,29.40523,29.68573,28.950573,28.36434,27.12457,24.740437,17.972258,12.538649,11.31228,9.18,8.493437
05/02,29.715109,29.929014,29.89799,29.88927,29.56812,30.134113,29.411549,29.699612,28.950369,28.360853,26.927282,24.612505,18.004759,12.563342,11.34613,8.8,8.474014
05/03,29.647154,29.998438,29.965687,29.962198,29.568321,30.187466,29.398062,29.68563,28.962275,28.377178,26.909388,24.705273,18.014812,12.557019,11.362379,9.1,8.49598
05/04,29.606916,29.89687,29.894602,29.90731,29.543444,30.07153,29.415464,29.60271,28.986217,28.391054,27.039701,24.792652,18.002344,12.451812,11.30268,8.87,8.493484
05/05,29.585606,29.830212,29.828495,29.8364,29.490488,29.863941,29.433708,29.651136,28.998558,28.36212,27.023926,24.703678,17.99864,12.508414,11.285696,8.81,8.411282
