time,1,3,5,10,13,20,25,28,35,40,45,48,60,80,83,100,120,123,140,160,180,200,250,300,500
02/12,25.752022,27.51,25.443287,25.671862,25.313334,25.233225,25.408888,24.135,25.68,24.985292,25.095127,24.298,24.752428,23.32528,23.126665,21.079266,18.08266,16.6475,16.56708,,13.716938,13.37875,12.17,11.578288,7.9987407
02/13,25.71995,27.365,25.585506,25.649721,25.416666,25.228098,25.377441,24.182499,25.83,24.885706,25.126682,24.358,24.72761,23.331226,23.589998,21.33138,18.325184,16.7,16.684189,,13.911565,13.245,12.18,11.610242,7.9919453
02/14,25.675707,27.225,25.567862,25.623932,25.473333,25.207905,25.347523,24.23,25.86,24.89831,25.108536,24.442,24.739393,23.187613,23.753334,21.238966,18.235426,17.205,16.697327,,13.807,13.24375,12.27,11.557318,8.021998
02/15,25.653591,27.27,25.410591,25.631538,25.470001,25.237093,25.385862,24.2925,25.92,24.921423,25.175081,24.526001,24.687208,23.073156,23.960001,21.157043,18.217838,17.5525,16.663973,,13.796056,13.175,12.36,11.5061455,7.979704
02/16,25.685774,27.385,25.58896,25.666195,25.486666,25.296766,25.412737,24.335,25.92,24.974998,25.168907,24.544,24.767767,23.155134,23.87,21.165836,18.25163,17.2225,16.65559,,13.98822,13.175,12.14,11.474835,7.9920735
02/17,25.704344,27.5,25.62443,25.705227,25.563334,25.349186,25.433754,24.35,25.82,25.036709,25.21092,24.598001,24.928452,23.545555,23.943335,21.65633,18.609684,17.315,16.874401,,14.018505,13.22,12.21,11.574877,8.032705
02/18,25.758202,27.564999,25.681131,25.773235,25.636667,25.368572,25.471958,24.377499,25.64,25.05825,25.249456,24.630001,24.924692,23.344776,23.393333,21.23604,18.218897,17.037498,16.6863,,13.862843,13.028749,12.27,11.541193,8.003195
02/19,25.822166,27.525,25.704227,25.826458,25.69,25.395618,25.521431,24.395,25.58,25.107683,25.24199,24.698,24.908945,23.309317,23.656668,20.993864,17.969715,16.6975,16.466541,,13.825298,12.895,11.97,11.522116,7.9802155
02/20,25.863943,27.654999,25.564724,25.848179,25.686666,25.383736,25.541033,24.43,25.77,25.155806,25.17955,24.736,24.965887,23.206913,24.06,20.939146,18.033617,17.3875,16.40637,,13.817021,12.985,11.85,11.64682,8.0345125
02/21,25.869926,27.675,25.733585,25.869099,25.726667,25.413729,25.561165,24.445,25.88,25.121729,25.177221,24.746,24.90096,23.027775,23.433334,20.93082,18.221273,17.3575,16.523178,,13.7840395,13.06875,11.88,11.651776,8.054966
